source_gene_symbol	source_gene_symbol	target_gene_symbol	value
CREG1	CREG1	TSC22D3	0.72192513369
TES	TES	TSC22D3	0.410542398778
CTSD	CTSD	TSC22D3	0.65103132162
TXNRD1	TXNRD1	TSC22D3	0.848128342246
TRIB3	TRIB3	TSC22D3	0.38090145149
TUBB6	TUBB6	TSC22D3	-0.300229182582
GAPDH	GAPDH	TSC22D3	0.589304812834
VDAC1	VDAC1	CREG1	0.110466004584
DNAJA3	DNAJA3	CREG1	0.481436210848
ACLY	ACLY	CREG1	-0.414820473644
APP	APP	CREG1	0.746371275783
HSPA8	HSPA8	CREG1	-0.493353705118
PCNA	PCNA	CREG1	-0.280366692131
HSPB1	HSPB1	CREG1	0.871046600458
SNAP25	SNAP25	CREG1	-0.134912146677
CDC20	CDC20	CREG1	-0.562414056532
SQSTM1	SQSTM1	CREG1	0.791291061879
TLR4	TLR4	CREG1	-0.365011459129
BTK	BTK	CREG1	-0.247364400306
GNAS	GNAS	CREG1	0.50038197097
LSM5	LSM5	CREG1	-0.258670741024
PNP	PNP	CREG1	-0.481741787624
IFRD2	IFRD2	CREG1	-0.574942704354
DDIT4	DDIT4	CREG1	0.537356760886
TSC22D3	TSC22D3	CREG1	0.72192513369
TES	TES	CREG1	0.377540106952
CTSD	CTSD	CREG1	0.570664629488
TXNRD1	TXNRD1	CREG1	0.789152024446
TRIB3	TRIB3	CREG1	0.345454545455
TUBB6	TUBB6	CREG1	-0.308785332315
GAPDH	GAPDH	CREG1	0.842016806723
VDAC1	VDAC1	TES	-0.529717341482
DNAJA3	DNAJA3	TES	0.71550802139
ACLY	ACLY	TES	-0.51474407945
APP	APP	TES	0.520244461421
HSPA8	HSPA8	TES	-0.427349121467
PCNA	PCNA	TES	-0.443544690604
HSPB1	HSPB1	TES	0.364094728801
SNAP25	SNAP25	TES	0.258365164248
CDC20	CDC20	TES	-0.557830404889
SQSTM1	SQSTM1	TES	0.469213139801
TLR4	TLR4	TES	-0.174942704354
BTK	BTK	TES	0.191138273491
